name,date,open,high,low,close,volume,adj_close
MSH,2020-10-26,34.4,34.45,34.2,34.4,79560,34.4
MSH,2020-10-23,34.2,34.4,34.0,34.4,51250,34.4
MSH,2020-10-22,34.2,34.25,34.05,34.2,91600,34.2
MSH,2020-10-21,34.35,34.5,34.0,34.2,26450,34.2
MSH,2020-10-20,34.35,34.4,33.9,34.35,79950,34.35
MSH,2020-10-19,34.65,34.7,34.2,34.35,129200,34.35
MSH,2020-10-16,34.9,34.9,33.5,34.65,97240,34.65
MSH,2020-10-15,35.2,35.3,34.9,34.9,62600,34.9
MSH,2020-10-14,34.9,35.3,34.9,35.2,86780,35.2
MSH,2020-10-13,34.85,34.9,34.7,34.85,47020,34.85
MSH,2020-10-12,34.7,34.85,34.6,34.75,122830,34.75
MSH,2020-10-09,34.3,34.45,34.15,34.45,102160,34.45
MSH,2020-10-08,34.2,34.5,33.8,34.3,137130,34.3
MSH,2020-10-07,33.65,34.7,33.5,34.2,207700,34.2
MSH,2020-10-06,33.15,33.7,33.15,33.65,48720,33.65
MSH,2020-10-05,33.1,33.5,33.0,33.5,81420,33.5
MSH,2020-10-02,33.15,33.45,32.85,33.1,183700,33.1
MSH,2020-10-01,33.5,33.5,32.8,33.15,61820,33.15
MSH,2020-09-30,32.1,33.05,32.1,33.05,128040,33.05
MSH,2020-09-29,33.0,33.2,32.5,32.6,110760,32.6
