name,date,open,high,low,close,volume,adj_close
MSN,2020-10-26,84.7,87.9,84.7,87.9,4666520,87.9
MSN,2020-10-23,85.1,86.1,84.5,86.0,3419860,86.0
MSN,2020-10-22,82.8,85.0,82.5,85.0,5130670,85.0
MSN,2020-10-21,83.0,84.9,82.0,83.7,1756450,83.7
MSN,2020-10-20,81.8,83.7,80.0,83.7,4875310,83.7
MSN,2020-10-19,76.2,82.0,76.2,82.0,3072960,82.0
MSN,2020-10-16,81.0,81.0,75.5,80.0,6539150,80.0
MSN,2020-10-15,80.0,82.9,78.3,81.1,5698130,81.1
MSN,2020-10-14,74.7,80.0,73.1,80.0,5066890,80.0
MSN,2020-10-13,70.0,75.1,68.0,74.8,4664240,74.8
MSN,2020-10-12,68.0,70.2,66.5,70.2,5818700,70.2
MSN,2020-10-09,63.5,68.2,62.2,68.1,5339660,68.1
MSN,2020-10-08,61.5,63.9,60.6,63.9,4846470,63.9
MSN,2020-10-07,58.0,62.0,57.9,61.9,6435850,61.9
MSN,2020-10-06,56.4,58.3,56.3,58.0,4400570,58.0
MSN,2020-10-05,54.6,56.2,54.1,56.0,3268020,56.0
MSN,2020-10-02,54.9,55.0,53.8,54.1,1483120,54.1
MSN,2020-10-01,54.7,55.0,54.6,54.9,964220,54.9
MSN,2020-09-30,53.6,54.6,53.6,54.6,843740,54.6
MSN,2020-09-29,54.9,54.9,53.6,53.6,1283100,53.6
