name,date,open,high,low,close,volume,adj_close
MWG,2020-10-26,110.0,112.5,109.5,110.0,1054600,110.0
MWG,2020-10-23,109.0,110.5,107.9,110.0,1218320,110.0
MWG,2020-10-22,105.2,108.5,105.2,108.5,607760,108.5
MWG,2020-10-21,107.0,108.5,105.5,105.8,766740,105.8
MWG,2020-10-20,106.0,106.8,104.7,106.8,977350,106.8
MWG,2020-10-19,107.4,107.4,106.0,106.8,480220,106.8
MWG,2020-10-16,109.5,109.5,107.5,108.4,546060,106.9
MWG,2020-10-15,109.0,109.5,107.0,109.4,880570,107.89
MWG,2020-10-14,106.1,109.0,104.6,109.0,1081330,107.5
MWG,2020-10-13,107.5,107.5,105.8,106.2,815720,104.73
MWG,2020-10-12,109.0,109.3,106.5,107.5,941210,106.02
MWG,2020-10-09,110.0,110.5,108.5,109.0,575370,107.5
MWG,2020-10-08,108.0,109.5,107.7,109.5,871660,107.99
MWG,2020-10-07,105.2,107.9,104.0,107.6,959640,106.12
MWG,2020-10-06,105.0,105.9,104.5,105.2,1075760,103.75
MWG,2020-10-05,104.0,105.3,103.5,104.0,588560,102.56
MWG,2020-10-02,105.0,105.4,99.8,104.0,1326080,102.56
MWG,2020-10-01,104.3,105.1,104.3,105.0,779470,103.55
MWG,2020-09-30,104.5,105.0,102.6,104.3,1088450,102.86
MWG,2020-09-29,104.8,106.3,103.5,103.5,1230990,102.07
