name,date,open,high,low,close,volume,adj_close
NBB,2020-10-26,23.8,24.0,23.8,23.9,382770,23.9
NBB,2020-10-23,23.6,23.8,23.6,23.8,146900,23.8
NBB,2020-10-22,23.5,23.6,23.0,23.6,140030,23.6
NBB,2020-10-21,23.0,23.8,23.0,23.6,129560,23.6
NBB,2020-10-20,23.7,23.8,22.5,23.8,276120,23.8
NBB,2020-10-19,23.7,23.8,23.35,23.7,297400,23.7
NBB,2020-10-16,23.4,23.85,23.3,23.7,988070,23.7
NBB,2020-10-15,22.5,23.95,22.5,23.5,39310,23.5
NBB,2020-10-14,22.5,24.0,22.5,24.0,120270,24.0
NBB,2020-10-13,22.95,23.3,22.7,23.3,211260,23.3
NBB,2020-10-12,22.45,23.0,22.45,22.95,85300,22.95
NBB,2020-10-09,21.15,22.45,21.15,22.45,954040,22.45
NBB,2020-10-08,22.6,22.7,22.0,22.0,760180,22.0
NBB,2020-10-07,21.9,22.3,21.5,21.6,563300,21.6
NBB,2020-10-06,22.0,22.0,21.05,21.1,115200,21.1
NBB,2020-10-05,19.75,21.05,19.75,21.05,260400,21.05
NBB,2020-10-02,19.5,19.8,19.5,19.7,100430,19.7
NBB,2020-10-01,19.6,19.7,19.5,19.5,28590,19.5
NBB,2020-09-30,18.5,19.8,18.5,19.6,20360,19.6
NBB,2020-09-29,19.85,19.85,19.4,19.8,35250,19.8
