name,date,open,high,low,close,volume,adj_close
NCT,2020-10-26,68.5,68.5,68.2,68.2,19450,68.2
NCT,2020-10-23,68.6,68.6,68.4,68.5,10210,68.5
NCT,2020-10-22,68.1,68.6,68.1,68.4,10890,68.4
NCT,2020-10-21,68.0,68.5,67.8,68.1,73080,68.1
NCT,2020-10-20,68.0,68.0,67.8,67.9,35950,67.9
NCT,2020-10-19,67.9,68.0,67.8,68.0,18260,68.0
NCT,2020-10-16,67.8,68.0,67.8,67.9,14050,67.9
NCT,2020-10-15,67.8,67.9,67.7,67.8,17220,67.8
NCT,2020-10-14,67.9,67.9,67.8,67.8,20700,67.8
NCT,2020-10-13,68.0,68.0,67.8,67.9,10580,67.9
NCT,2020-10-12,67.8,68.0,67.8,67.9,25620,67.9
NCT,2020-10-09,67.8,67.9,67.7,67.9,8620,67.9
NCT,2020-10-08,67.7,67.8,67.6,67.6,28390,67.6
NCT,2020-10-07,67.8,67.8,67.6,67.8,9970,67.8
NCT,2020-10-06,67.7,67.9,67.6,67.8,7300,67.8
NCT,2020-10-05,67.6,67.7,67.3,67.7,15660,67.7
NCT,2020-10-02,67.6,67.6,67.1,67.5,23340,67.5
NCT,2020-10-01,66.9,67.8,66.9,67.6,21590,67.6
NCT,2020-09-30,67.2,67.3,66.9,66.9,27680,66.9
NCT,2020-09-29,67.4,67.5,66.9,67.2,46740,67.2
