name,date,open,high,low,close,volume,adj_close
NLG,2020-10-26,26.6,26.9,26.45,26.75,824140,26.75
NLG,2020-10-23,26.7,26.8,26.45,26.75,476190,26.75
NLG,2020-10-22,26.7,26.8,26.4,26.55,470050,26.55
NLG,2020-10-21,27.2,27.4,26.8,26.8,806540,26.8
NLG,2020-10-20,27.0,27.05,26.7,27.05,252870,27.05
NLG,2020-10-19,26.55,27.1,26.55,27.0,1196010,27.0
NLG,2020-10-16,26.5,26.65,26.4,26.55,916060,26.55
NLG,2020-10-15,26.5,26.7,26.4,26.5,753280,26.5
NLG,2020-10-14,26.6,26.6,26.45,26.5,455860,26.5
NLG,2020-10-13,26.5,26.6,26.4,26.6,648230,26.6
NLG,2020-10-12,26.65,26.65,26.2,26.5,842900,26.5
NLG,2020-10-09,26.5,26.65,26.3,26.65,867790,26.65
NLG,2020-10-08,26.55,26.65,26.4,26.5,848360,26.5
NLG,2020-10-07,26.3,26.6,26.2,26.55,670310,26.55
NLG,2020-10-06,26.7,26.8,26.0,26.4,853490,26.4
NLG,2020-10-05,26.4,26.75,26.0,26.5,1236080,26.5
NLG,2020-10-02,26.4,26.4,25.75,26.0,658230,26.0
NLG,2020-10-01,25.8,26.45,25.6,26.25,1111310,26.25
NLG,2020-09-30,25.6,25.8,25.45,25.75,603070,25.75
NLG,2020-09-29,25.8,25.8,25.0,25.6,867740,25.6
