name,date,open,high,low,close,volume,adj_close
NTP,2020-10-26,34.5,34.7,37.0,36.5,188036,36.5
NTP,2020-10-23,33.8,34.0,34.5,34.5,92450,34.5
NTP,2020-10-22,34.0,34.0,34.0,33.8,25780,33.8
NTP,2020-10-21,34.4,34.5,34.5,34.0,33892,34.0
NTP,2020-10-20,34.2,34.4,34.5,34.4,57005,34.4
NTP,2020-10-19,33.3,33.3,34.2,34.2,86764,34.2
NTP,2020-10-16,32.9,32.6,33.3,33.3,58050,33.3
NTP,2020-10-15,32.6,32.9,32.9,32.9,36566,32.9
NTP,2020-10-14,32.6,32.8,33.6,32.6,46535,32.6
NTP,2020-10-13,32.8,32.8,32.8,32.6,13148,32.6
NTP,2020-10-12,32.7,33.3,34.0,32.8,72851,32.8
NTP,2020-10-09,33.0,33.1,33.1,32.7,20182,32.7
NTP,2020-10-08,33.5,33.5,33.5,33.0,16306,33.0
NTP,2020-10-07,33.5,33.2,33.5,33.5,9330,33.5
NTP,2020-10-06,33.7,33.7,33.8,33.5,10062,33.5
NTP,2020-10-05,33.5,33.5,33.7,33.7,23783,33.7
NTP,2020-10-02,33.6,33.8,33.8,33.5,55245,33.5
NTP,2020-10-01,32.7,33.4,33.8,33.6,77260,33.6
NTP,2020-09-30,33.3,33.1,33.9,32.7,12634,32.7
NTP,2020-09-29,33.7,33.6,33.7,33.3,9635,33.3
