name,date,open,high,low,close,volume,adj_close
PAN,2020-10-26,20.1,20.1,19.85,19.85,103140,19.85
PAN,2020-10-23,20.2,20.2,20.0,20.1,50730,20.1
PAN,2020-10-22,20.2,20.2,19.95,20.2,29880,20.2
PAN,2020-10-21,19.85,20.4,19.85,20.2,38280,20.2
PAN,2020-10-20,20.1,20.1,19.9,20.05,103460,20.05
PAN,2020-10-19,20.1,20.45,19.9,20.1,129360,20.1
PAN,2020-10-16,20.4,20.7,20.1,20.1,222140,20.1
PAN,2020-10-15,21.05,21.05,20.6,20.6,158540,20.6
PAN,2020-10-14,21.2,21.3,20.85,21.1,118830,21.1
PAN,2020-10-13,20.5,21.5,20.3,21.2,212430,21.2
PAN,2020-10-12,20.75,20.75,20.3,20.55,103350,20.55
PAN,2020-10-09,20.8,20.9,20.7,20.8,51570,20.8
PAN,2020-10-08,21.2,21.2,20.7,20.8,69430,20.8
PAN,2020-10-07,21.3,21.5,21.0,21.0,183230,21.0
PAN,2020-10-06,20.95,21.25,20.6,21.2,233750,21.2
PAN,2020-10-05,20.2,20.5,20.15,20.45,69770,20.45
PAN,2020-10-02,20.5,20.55,19.9,20.2,98240,20.2
PAN,2020-10-01,20.15,20.55,20.15,20.5,102710,20.5
PAN,2020-09-30,20.4,20.4,20.15,20.35,38710,20.35
PAN,2020-09-29,20.1,20.65,19.95,20.35,137130,20.35
