name,date,open,high,low,close,volume,adj_close
PC1,2020-10-26,22.9,22.9,22.4,22.4,288680,22.4
PC1,2020-10-23,22.8,22.8,22.4,22.6,150700,22.6
PC1,2020-10-22,22.55,22.6,22.45,22.6,112890,22.6
PC1,2020-10-21,22.8,22.8,22.45,22.55,168520,22.55
PC1,2020-10-20,22.4,22.7,22.4,22.6,79960,22.6
PC1,2020-10-19,22.8,23.5,22.35,22.6,618910,22.6
PC1,2020-10-16,22.4,22.8,22.25,22.4,216240,22.4
PC1,2020-10-15,22.6,22.6,22.25,22.4,216620,22.4
PC1,2020-10-14,22.6,22.6,22.3,22.6,91520,22.6
PC1,2020-10-13,22.3,22.8,22.3,22.5,99600,22.5
PC1,2020-10-12,22.1,22.9,22.1,22.5,323750,22.5
PC1,2020-10-09,22.5,22.75,22.4,22.7,230190,22.7
PC1,2020-10-08,22.55,22.55,22.0,22.4,165470,22.4
PC1,2020-10-07,22.45,22.75,22.4,22.55,430810,22.55
PC1,2020-10-06,22.8,22.9,22.7,22.75,186490,22.75
PC1,2020-10-05,22.0,22.8,22.0,22.8,472320,22.8
PC1,2020-10-02,21.3,22.2,21.3,22.0,802180,22.0
PC1,2020-10-01,21.4,21.55,21.2,21.3,323690,21.3
PC1,2020-09-30,21.1,21.3,20.9,21.25,143300,21.25
PC1,2020-09-29,21.65,21.7,21.1,21.2,232450,21.2
