name,date,open,high,low,close,volume,adj_close
PDR,2020-10-26,38.4,38.65,38.35,38.4,1675700,38.4
PDR,2020-10-23,38.75,38.75,37.8,38.4,1496040,38.4
PDR,2020-10-22,38.55,38.75,38.2,38.75,1560080,38.75
PDR,2020-10-21,39.1,39.2,38.55,38.55,1803360,38.55
PDR,2020-10-20,39.0,39.5,38.95,39.2,1875660,39.2
PDR,2020-10-19,38.0,39.1,38.0,39.0,1878950,39.0
PDR,2020-10-16,38.85,39.0,38.0,38.0,1825410,38.0
PDR,2020-10-15,39.2,39.2,38.9,39.1,1661930,39.1
PDR,2020-10-14,38.4,39.35,38.35,39.2,1623160,39.2
PDR,2020-10-13,38.55,38.55,38.3,38.5,1167560,38.5
PDR,2020-10-12,39.2,39.3,38.5,38.55,1280160,38.55
PDR,2020-10-09,38.7,39.4,38.6,39.2,1628160,39.2
PDR,2020-10-08,38.8,38.85,38.3,38.5,1440420,38.5
PDR,2020-10-07,39.2,39.25,38.65,38.8,1701940,38.8
PDR,2020-10-06,38.7,39.25,38.55,39.2,1528760,39.2
PDR,2020-10-05,39.1,39.5,38.5,38.6,1554110,38.6
PDR,2020-10-02,39.75,39.95,38.6,39.0,1325060,39.0
PDR,2020-10-01,38.6,39.9,38.2,39.9,1909790,39.9
PDR,2020-09-30,39.0,39.4,38.3,38.6,1231550,38.6
PDR,2020-09-29,40.2,40.2,38.35,39.6,963110,39.6
