name,date,open,high,low,close,volume,adj_close
PHR,2020-10-26,55.7,57.4,55.7,56.5,1545180,56.5
PHR,2020-10-23,55.1,55.7,54.8,55.5,587880,55.5
PHR,2020-10-22,54.3,54.8,54.2,54.7,361140,54.7
PHR,2020-10-21,54.6,55.6,54.3,54.3,547030,54.3
PHR,2020-10-20,55.0,55.4,54.2,55.0,905300,55.0
PHR,2020-10-19,55.8,56.1,55.0,55.3,385320,55.3
PHR,2020-10-16,54.5,56.3,53.7,55.3,933370,55.3
PHR,2020-10-15,55.6,55.8,54.0,54.5,1906510,54.5
PHR,2020-10-14,56.4,56.8,55.6,55.6,705660,55.6
PHR,2020-10-13,55.5,56.5,55.5,56.3,762820,56.3
PHR,2020-10-12,57.2,57.4,55.7,56.0,3054660,56.0
PHR,2020-10-09,58.5,58.5,57.6,57.8,669920,57.8
PHR,2020-10-08,58.6,58.6,57.5,58.1,676930,58.1
PHR,2020-10-07,58.7,59.0,58.3,58.6,708270,58.6
PHR,2020-10-06,59.0,59.5,58.4,58.7,906020,58.7
PHR,2020-10-05,57.7,59.0,57.7,58.7,1078280,58.7
PHR,2020-10-02,58.3,58.5,56.7,57.8,892530,57.8
PHR,2020-10-01,58.3,59.0,58.2,58.3,656760,58.3
PHR,2020-09-30,56.7,59.1,56.6,58.3,1767490,58.3
PHR,2020-09-29,58.0,58.2,56.6,56.8,1495930,56.8
