name,date,open,high,low,close,volume,adj_close
PLX,2020-10-26,49.5,50.0,49.2,50.0,266000,50.0
PLX,2020-10-23,49.7,49.7,49.1,49.5,238360,49.5
PLX,2020-10-22,49.0,49.4,48.55,49.4,179460,49.4
PLX,2020-10-21,49.1,49.5,48.7,48.9,287910,48.9
PLX,2020-10-20,49.0,49.5,48.65,49.1,571730,49.1
PLX,2020-10-19,50.0,50.0,49.3,49.35,678150,49.35
PLX,2020-10-16,49.6,50.2,49.6,49.95,251320,49.95
PLX,2020-10-15,49.9,50.6,49.8,49.8,460270,49.8
PLX,2020-10-14,49.35,49.5,49.2,49.5,678810,49.5
PLX,2020-10-13,49.3,49.9,49.25,49.35,167150,49.35
PLX,2020-10-12,49.8,50.0,49.25,49.35,282010,49.35
PLX,2020-10-09,49.8,50.2,49.75,49.75,218150,49.75
PLX,2020-10-08,50.0,50.2,49.8,49.8,137770,49.8
PLX,2020-10-07,50.0,50.3,49.9,49.9,485060,49.9
PLX,2020-10-06,50.8,50.8,50.1,50.2,245460,50.2
PLX,2020-10-05,50.6,50.7,50.2,50.2,256340,50.2
PLX,2020-10-02,50.6,50.8,50.2,50.6,232550,50.6
PLX,2020-10-01,51.0,51.0,50.5,50.8,145990,50.8
PLX,2020-09-30,50.6,50.8,50.0,50.3,178430,50.3
PLX,2020-09-29,51.2,51.6,50.6,50.6,244710,50.6
