name,date,open,high,low,close,volume,adj_close
PME,2020-10-26,70.1,71.5,70.1,70.1,1620,70.1
PME,2020-10-23,70.0,71.0,70.0,70.1,1870,70.1
PME,2020-10-22,69.5,69.8,69.5,69.8,20,69.8
PME,2020-10-21,69.5,71.5,69.3,69.5,8800,69.5
PME,2020-10-20,70.1,70.1,69.1,69.3,2250,69.3
PME,2020-10-19,69.1,70.0,69.0,69.0,6020,69.0
PME,2020-10-16,69.0,69.0,69.0,69.0,1910,69.0
PME,2020-10-15,69.0,70.2,69.0,69.0,380,69.0
PME,2020-10-14,69.0,69.0,69.0,69.0,7670,69.0
PME,2020-10-13,68.9,71.0,68.9,69.1,480,69.1
PME,2020-10-12,68.3,70.2,68.3,69.0,1890,69.0
PME,2020-10-09,70.1,70.1,70.1,70.1,620,70.1
PME,2020-10-08,69.5,70.5,69.0,70.5,170,70.5
PME,2020-10-07,70.0,70.5,69.1,69.5,6890,69.5
PME,2020-10-06,69.7,70.2,69.1,69.5,18070,69.5
PME,2020-10-05,68.0,70.1,68.0,69.0,4270,69.0
PME,2020-10-02,68.4,70.0,68.4,68.7,620,68.7
PME,2020-10-01,68.2,70.1,68.2,68.9,24970,68.9
PME,2020-09-30,70.1,70.1,70.1,70.1,50,70.1
PME,2020-09-29,68.6,68.6,68.6,68.6,0,68.6
