name,date,open,high,low,close,volume,adj_close
POW,2020-10-26,10.3,10.35,10.1,10.1,5099730,10.1
POW,2020-10-23,10.4,10.45,10.2,10.3,2577600,10.3
POW,2020-10-22,10.2,10.4,10.15,10.35,6070070,10.35
POW,2020-10-21,10.2,10.25,10.15,10.15,2587590,10.15
POW,2020-10-20,10.25,10.25,10.1,10.2,4923960,10.2
POW,2020-10-19,10.4,10.4,10.1,10.15,6144040,10.15
POW,2020-10-16,10.2,10.45,10.1,10.3,4795660,10.3
POW,2020-10-15,10.2,10.3,10.1,10.15,6120520,10.15
POW,2020-10-14,10.3,10.35,10.1,10.2,8209070,10.2
POW,2020-10-13,10.4,10.4,10.25,10.25,3308250,10.25
POW,2020-10-12,10.6,10.7,10.3,10.35,6611940,10.35
POW,2020-10-09,10.6,10.75,10.5,10.55,4068630,10.55
POW,2020-10-08,10.65,10.65,10.45,10.5,6586690,10.5
POW,2020-10-07,10.7,10.8,10.55,10.55,8011390,10.55
POW,2020-10-06,10.95,10.95,10.7,10.75,6445070,10.75
POW,2020-10-05,10.85,11.0,10.75,10.9,6133970,10.9
POW,2020-10-02,10.35,10.8,10.3,10.6,18218010,10.6
POW,2020-10-01,10.3,10.35,10.2,10.3,5052340,10.3
POW,2020-09-30,10.15,10.35,10.15,10.25,3394810,10.25
POW,2020-09-29,10.25,10.4,10.15,10.15,9799620,10.15
