name,date,open,high,low,close,volume,adj_close
PPC,2020-10-26,23.4,23.45,23.05,23.05,95190,23.05
PPC,2020-10-23,23.1,23.3,23.1,23.15,39130,23.15
PPC,2020-10-22,23.05,23.05,22.9,23.05,149830,23.05
PPC,2020-10-21,23.5,23.5,23.0,23.05,348660,23.05
PPC,2020-10-20,23.5,23.5,23.4,23.5,104620,23.5
PPC,2020-10-19,23.75,23.75,23.45,23.5,105730,23.5
PPC,2020-10-16,23.5,23.6,23.4,23.45,118300,23.45
PPC,2020-10-15,23.55,23.8,23.4,23.4,328190,23.4
PPC,2020-10-14,23.6,23.65,23.5,23.55,184610,23.55
PPC,2020-10-13,23.65,23.75,23.45,23.75,114810,23.75
PPC,2020-10-12,24.0,24.0,23.65,23.65,191800,23.65
PPC,2020-10-09,24.2,24.2,24.0,24.0,217540,24.0
PPC,2020-10-08,24.25,24.3,23.85,24.0,199020,24.0
PPC,2020-10-07,23.85,24.35,23.8,24.15,527580,24.15
PPC,2020-10-06,23.6,23.9,23.5,23.85,181040,23.85
PPC,2020-10-05,23.6,23.7,23.5,23.6,169310,23.6
PPC,2020-10-02,23.7,23.75,23.4,23.6,485360,23.6
PPC,2020-10-01,23.7,23.75,23.6,23.6,222900,23.6
PPC,2020-09-30,23.75,23.8,23.65,23.7,96600,23.7
PPC,2020-09-29,23.85,23.9,23.7,23.75,188110,23.75
