name,date,open,high,low,close,volume,adj_close
PTB,2020-10-26,53.4,54.0,52.8,52.8,168890,52.8
PTB,2020-10-23,54.0,54.2,52.7,52.8,365460,52.8
PTB,2020-10-22,53.4,54.5,52.1,54.1,124980,54.1
PTB,2020-10-21,55.6,55.9,53.6,53.6,604590,53.6
PTB,2020-10-20,55.9,56.0,55.4,56.0,123030,56.0
PTB,2020-10-19,57.2,57.2,55.5,55.9,261560,55.9
PTB,2020-10-16,55.0,57.4,54.8,57.0,456320,57.0
PTB,2020-10-15,55.3,55.8,54.8,55.0,143510,55.0
PTB,2020-10-14,55.7,56.2,55.1,55.2,154110,55.2
PTB,2020-10-13,55.5,56.4,55.5,55.7,263290,55.7
PTB,2020-10-12,56.9,56.9,55.5,55.5,168620,55.5
PTB,2020-10-09,57.0,57.2,55.5,56.0,181040,56.0
PTB,2020-10-08,56.2,56.9,56.0,56.4,136810,56.4
PTB,2020-10-07,56.9,58.0,56.2,56.2,220470,56.2
PTB,2020-10-06,55.2,57.0,55.2,57.0,421430,57.0
PTB,2020-10-05,55.0,55.3,54.4,55.0,116680,55.0
PTB,2020-10-02,55.0,55.2,53.0,54.4,136770,54.4
PTB,2020-10-01,55.8,56.2,54.8,54.9,206230,54.9
PTB,2020-09-30,52.0,55.5,52.0,55.1,333590,55.1
PTB,2020-09-29,53.0,53.7,52.0,52.0,139530,52.0
