name,date,open,high,low,close,volume,adj_close
PVD,2020-10-26,11.4,11.4,11.0,11.0,7698480,11.0
PVD,2020-10-23,11.5,11.55,11.35,11.4,2361150,11.4
PVD,2020-10-22,11.35,11.4,11.25,11.4,3220510,11.4
PVD,2020-10-21,11.6,11.6,11.4,11.4,4354930,11.4
PVD,2020-10-20,11.5,11.65,11.45,11.55,4810270,11.55
PVD,2020-10-19,11.6,11.65,11.4,11.4,4658100,11.4
PVD,2020-10-16,11.6,11.7,11.5,11.55,4508880,11.55
PVD,2020-10-15,11.6,11.7,11.45,11.55,4978240,11.55
PVD,2020-10-14,11.65,11.7,11.5,11.5,5311850,11.5
PVD,2020-10-13,11.6,11.7,11.55,11.55,4272690,11.55
PVD,2020-10-12,12.1,12.15,11.6,11.65,11312100,11.65
PVD,2020-10-09,12.2,12.4,12.1,12.1,3826640,12.1
PVD,2020-10-08,12.1,12.2,11.9,12.1,9054770,12.1
PVD,2020-10-07,12.1,12.25,12.0,12.0,9045000,12.0
PVD,2020-10-06,12.45,12.55,12.1,12.25,7132070,12.25
PVD,2020-10-05,11.65,12.3,11.6,12.3,15719190,12.3
PVD,2020-10-02,11.6,11.7,11.25,11.55,11211910,11.55
PVD,2020-10-01,11.65,11.75,11.55,11.65,4809220,11.65
PVD,2020-09-30,11.5,11.55,11.35,11.55,5418030,11.55
PVD,2020-09-29,11.85,12.05,11.5,11.5,9663240,11.5
