name,date,open,high,low,close,volume,adj_close
PVT,2020-10-26,13.6,13.65,13.35,13.35,1918190,13.35
PVT,2020-10-23,13.75,13.75,13.6,13.6,1365080,13.6
PVT,2020-10-22,13.65,13.7,13.5,13.7,1862730,13.7
PVT,2020-10-21,13.7,13.8,13.6,13.7,1950040,13.7
PVT,2020-10-20,13.75,13.8,13.6,13.65,1498040,13.65
PVT,2020-10-19,13.65,13.75,13.5,13.75,2030130,13.75
PVT,2020-10-16,13.4,13.65,13.3,13.5,1455670,13.5
PVT,2020-10-15,13.6,13.65,13.25,13.4,3537770,13.4
PVT,2020-10-14,13.25,13.65,13.25,13.5,3753290,13.5
PVT,2020-10-13,13.65,13.7,13.1,13.25,3496500,13.25
PVT,2020-10-12,13.9,14.05,13.6,13.65,3133260,13.65
PVT,2020-10-09,14.1,14.15,13.9,13.95,1462350,13.95
PVT,2020-10-08,14.25,14.25,13.85,14.0,2200160,14.0
PVT,2020-10-07,14.3,14.35,14.05,14.1,3544480,14.1
PVT,2020-10-06,14.7,14.75,14.25,14.35,3080230,14.35
PVT,2020-10-05,14.5,14.75,14.4,14.6,3371920,14.6
PVT,2020-10-02,13.7,14.1,13.55,14.1,5052360,14.1
PVT,2020-10-01,13.5,13.7,13.45,13.6,1945270,13.6
PVT,2020-09-30,13.4,13.5,13.2,13.45,1660170,13.45
PVT,2020-09-29,13.75,13.8,13.35,13.5,3717450,13.5
