name,date,open,high,low,close,volume,adj_close
REE,2020-10-26,42.0,42.1,41.85,41.9,451160,41.9
REE,2020-10-23,42.3,42.3,41.85,42.0,320340,42.0
REE,2020-10-22,41.9,42.45,41.75,41.85,330310,41.85
REE,2020-10-21,41.75,42.85,41.7,41.8,988240,41.8
REE,2020-10-20,41.6,41.9,41.4,41.6,287510,41.6
REE,2020-10-19,41.2,41.65,41.2,41.6,144440,41.6
REE,2020-10-16,41.8,41.8,41.0,41.6,540700,41.6
REE,2020-10-15,41.0,41.85,41.0,41.8,302230,41.8
REE,2020-10-14,41.5,41.6,40.8,41.1,533620,41.1
REE,2020-10-13,41.7,41.8,41.3,41.65,223010,41.65
REE,2020-10-12,42.4,42.6,41.5,41.7,575670,41.7
REE,2020-10-09,41.45,42.3,41.25,42.0,384750,42.0
REE,2020-10-08,41.35,41.6,41.2,41.45,382790,41.45
REE,2020-10-07,41.2,41.65,41.05,41.35,448650,41.35
REE,2020-10-06,42.0,42.0,41.0,41.7,557850,41.7
REE,2020-10-05,41.2,42.0,41.2,41.95,371100,41.95
REE,2020-10-02,41.8,42.0,40.0,40.15,797440,40.15
REE,2020-10-01,40.2,41.85,40.2,41.8,587940,41.8
REE,2020-09-30,39.9,40.3,39.9,40.2,457740,40.2
REE,2020-09-29,40.35,40.45,39.95,39.95,607330,39.95
