name,date,open,high,low,close,volume,adj_close
ROS,2020-10-26,2.35,2.4,2.26,2.26,7455920,2.26
ROS,2020-10-23,2.28,2.36,2.28,2.31,17091770,2.31
ROS,2020-10-22,2.26,2.27,2.23,2.25,3472830,2.25
ROS,2020-10-21,2.3,2.31,2.26,2.26,5075730,2.26
ROS,2020-10-20,2.23,2.33,2.22,2.3,5163300,2.3
ROS,2020-10-19,2.24,2.25,2.21,2.23,4414490,2.23
ROS,2020-10-16,2.21,2.25,2.21,2.21,7159150,2.21
ROS,2020-10-15,2.29,2.3,2.24,2.26,6663590,2.26
ROS,2020-10-14,2.3,2.33,2.27,2.27,8277960,2.27
ROS,2020-10-13,2.34,2.35,2.3,2.31,7455500,2.31
ROS,2020-10-12,2.3,2.39,2.26,2.32,9219410,2.32
ROS,2020-10-09,2.38,2.39,2.28,2.29,13476290,2.29
ROS,2020-10-08,2.42,2.48,2.39,2.4,16543210,2.4
ROS,2020-10-07,2.33,2.44,2.27,2.42,21320390,2.42
ROS,2020-10-06,2.22,2.34,2.2,2.33,20422800,2.33
ROS,2020-10-05,2.16,2.26,2.16,2.2,13140800,2.2
ROS,2020-10-02,2.16,2.16,2.12,2.16,6206220,2.16
ROS,2020-10-01,2.17,2.19,2.15,2.16,4056350,2.16
ROS,2020-09-30,2.18,2.19,2.17,2.17,2973390,2.17
ROS,2020-09-29,2.26,2.26,2.18,2.19,5459200,2.19
