name,date,open,high,low,close,volume,adj_close
SAM,2020-10-26,9.64,9.64,9.5,9.61,129050,9.61
SAM,2020-10-23,9.61,9.65,9.51,9.64,122250,9.64
SAM,2020-10-22,9.48,9.7,9.48,9.6,180420,9.6
SAM,2020-10-21,9.31,9.55,9.3,9.48,107140,9.48
SAM,2020-10-20,9.6,9.6,9.35,9.5,163390,9.5
SAM,2020-10-19,9.3,9.45,8.9,9.35,683530,9.35
SAM,2020-10-16,9.9,9.9,9.3,9.3,339820,9.3
SAM,2020-10-15,10.15,10.25,10.0,10.0,51000,10.0
SAM,2020-10-14,10.05,10.35,10.0,10.15,112200,10.15
SAM,2020-10-13,10.25,10.25,10.0,10.05,41690,10.05
SAM,2020-10-12,10.25,10.35,10.2,10.25,17410,10.25
SAM,2020-10-09,10.4,10.4,10.2,10.35,118050,10.35
SAM,2020-10-08,10.5,10.5,10.4,10.4,98670,10.4
SAM,2020-10-07,10.7,10.7,10.5,10.7,125010,10.7
SAM,2020-10-06,10.8,10.8,10.5,10.7,94720,10.7
SAM,2020-10-05,10.8,10.8,10.55,10.7,63740,10.7
SAM,2020-10-02,10.65,10.8,10.5,10.8,31170,10.8
SAM,2020-10-01,10.6,10.8,10.6,10.8,24170,10.8
SAM,2020-09-30,10.65,10.7,10.6,10.7,38360,10.7
SAM,2020-09-29,10.75,10.8,10.7,10.7,20960,10.7
