name,date,open,high,low,close,volume,adj_close
SBT,2020-10-26,15.5,15.55,15.0,15.0,3081090,15.0
SBT,2020-10-23,15.4,15.6,15.3,15.3,3022300,15.3
SBT,2020-10-22,15.95,15.95,15.65,15.9,2902390,15.4
SBT,2020-10-21,16.3,16.3,15.95,15.95,3202540,15.45
SBT,2020-10-20,16.5,16.6,16.2,16.3,3000570,15.79
SBT,2020-10-19,16.2,16.45,15.8,16.45,4101520,15.93
SBT,2020-10-16,15.8,16.1,15.7,16.0,3809990,15.5
SBT,2020-10-15,15.9,16.2,15.85,15.9,3338100,15.4
SBT,2020-10-14,16.35,16.4,15.9,15.9,3557380,15.4
SBT,2020-10-13,16.3,16.35,15.85,16.35,3707910,15.84
SBT,2020-10-12,16.55,16.7,15.95,16.2,4632120,15.69
SBT,2020-10-09,16.4,16.8,16.1,16.55,5824010,16.03
SBT,2020-10-08,16.6,16.7,16.25,16.35,2946690,15.84
SBT,2020-10-07,16.0,17.0,15.8,16.55,6955470,16.03
SBT,2020-10-06,16.25,16.3,15.95,16.0,3436420,15.5
SBT,2020-10-05,16.2,16.5,16.0,16.2,3678040,15.69
SBT,2020-10-02,16.0,16.4,15.5,16.2,5099590,15.69
SBT,2020-10-01,14.8,15.8,14.8,15.8,8200920,15.3
SBT,2020-09-30,14.7,14.85,14.45,14.8,2789690,14.34
SBT,2020-09-29,15.2,15.2,14.45,14.7,3446220,14.24
