name,date,open,high,low,close,volume,adj_close
SCR,2020-10-26,6.5,6.5,6.3,6.3,1197570,6.3
SCR,2020-10-23,6.48,6.57,6.35,6.35,1453550,6.35
SCR,2020-10-22,6.41,6.48,6.38,6.48,1118240,6.48
SCR,2020-10-21,6.6,6.61,6.45,6.48,1445010,6.48
SCR,2020-10-20,6.3,6.56,6.28,6.49,2465090,6.49
SCR,2020-10-19,6.48,6.48,6.3,6.31,1592700,6.31
SCR,2020-10-16,6.64,6.64,6.4,6.4,2022990,6.4
SCR,2020-10-15,6.6,6.6,6.48,6.57,2232400,6.57
SCR,2020-10-14,6.7,6.7,6.6,6.6,1276590,6.6
SCR,2020-10-13,6.65,6.7,6.54,6.7,2387660,6.7
SCR,2020-10-12,6.81,6.84,6.65,6.7,2876280,6.7
SCR,2020-10-09,6.76,6.9,6.71,6.81,2167870,6.81
SCR,2020-10-08,6.8,6.83,6.6,6.8,3027880,6.8
SCR,2020-10-07,6.76,7.02,6.65,6.79,4432070,6.79
SCR,2020-10-06,6.78,6.88,6.6,6.76,4149760,6.76
SCR,2020-10-05,6.66,6.89,6.65,6.75,3588280,6.75
SCR,2020-10-02,6.63,6.63,6.15,6.6,4212080,6.6
SCR,2020-10-01,6.28,6.6,6.24,6.6,7627430,6.6
SCR,2020-09-30,6.15,6.22,6.09,6.17,1653540,6.17
SCR,2020-09-29,6.3,6.3,6.15,6.15,1536170,6.15
