name,date,open,high,low,close,volume,adj_close
SCS,2020-10-26,120.0,120.5,119.4,119.7,91040,119.7
SCS,2020-10-23,120.1,120.2,119.6,119.8,39460,119.8
SCS,2020-10-22,120.2,120.8,120.0,120.1,48040,120.1
SCS,2020-10-21,120.8,120.8,119.2,120.2,72600,120.2
SCS,2020-10-20,119.1,119.1,118.7,118.7,32300,118.7
SCS,2020-10-19,121.2,121.2,118.2,119.1,22480,119.1
SCS,2020-10-16,117.6,118.5,117.2,117.9,15780,117.9
SCS,2020-10-15,117.7,118.0,116.7,117.2,42160,117.2
SCS,2020-10-14,120.9,120.9,117.7,117.7,61790,117.7
SCS,2020-10-13,120.7,121.0,120.7,120.7,5090,120.7
SCS,2020-10-12,121.3,121.3,120.7,120.7,21100,120.7
SCS,2020-10-09,122.2,122.2,121.3,121.3,14900,121.3
SCS,2020-10-08,123.0,123.0,122.0,122.2,15210,122.2
SCS,2020-10-07,122.0,122.7,121.1,122.5,30140,122.5
SCS,2020-10-06,121.6,122.0,121.0,121.0,34180,121.0
SCS,2020-10-05,121.8,121.9,121.5,121.6,20710,121.6
SCS,2020-10-02,122.6,122.6,121.4,121.8,17130,121.8
SCS,2020-10-01,120.7,123.8,120.7,122.6,10390,122.6
SCS,2020-09-30,121.3,121.5,120.7,120.7,28760,120.7
SCS,2020-09-29,122.5,122.5,121.2,121.6,42200,121.6
