name,date,open,high,low,close,volume,adj_close
SFC,2020-10-26,23.55,23.55,23.55,23.55,30,23.55
SFC,2020-10-23,23.55,23.55,23.55,23.55,0,23.55
SFC,2020-10-22,23.55,23.55,23.55,23.55,130,23.55
SFC,2020-10-21,25.0,25.0,25.0,25.0,0,25.0
SFC,2020-10-20,24.6,25.0,24.6,25.0,5100,25.0
SFC,2020-10-19,24.6,24.6,24.6,24.6,5060,24.6
SFC,2020-10-16,23.0,23.0,23.0,23.0,120,23.0
SFC,2020-10-15,23.0,23.0,23.0,23.0,2500,23.0
SFC,2020-10-14,23.75,23.75,23.75,23.75,0,23.75
SFC,2020-10-13,23.75,23.75,23.75,23.75,10,23.75
SFC,2020-10-12,23.25,23.25,23.25,23.25,10,23.25
SFC,2020-10-09,24.9,25.0,24.9,25.0,1070,25.0
SFC,2020-10-08,24.9,24.9,24.9,24.9,60,24.9
SFC,2020-10-07,24.6,24.6,24.6,24.6,110,24.6
SFC,2020-10-06,24.5,24.5,24.5,24.5,0,24.5
SFC,2020-10-05,24.5,24.5,24.5,24.5,100,24.5
SFC,2020-10-02,24.1,24.1,24.1,24.1,0,24.1
SFC,2020-10-01,24.1,24.1,24.1,24.1,10,24.1
SFC,2020-09-30,24.9,24.9,24.1,24.1,980,24.1
SFC,2020-09-29,23.3,23.3,23.3,23.3,0,23.3
