name,date,open,high,low,close,volume,adj_close
SJS,2020-10-26,25.9,25.9,24.6,24.8,93690,24.8
SJS,2020-10-23,26.2,26.2,25.0,25.55,225870,25.55
SJS,2020-10-22,23.2,24.6,23.0,24.6,230030,24.6
SJS,2020-10-21,23.65,23.65,23.0,23.0,41710,23.0
SJS,2020-10-20,22.9,23.1,22.9,23.0,28000,23.0
SJS,2020-10-19,23.35,23.35,22.8,23.0,80100,23.0
SJS,2020-10-16,23.0,23.2,22.65,22.95,69230,22.95
SJS,2020-10-15,23.15,23.15,22.75,23.0,83000,23.0
SJS,2020-10-14,23.5,23.5,22.7,22.95,17060,22.95
SJS,2020-10-13,22.5,23.4,22.5,23.1,34930,23.1
SJS,2020-10-12,23.2,23.3,22.5,22.5,48810,22.5
SJS,2020-10-09,23.5,23.5,23.3,23.4,66730,23.4
SJS,2020-10-08,23.25,23.5,23.15,23.5,26010,23.5
SJS,2020-10-07,23.7,23.7,23.4,23.6,98890,23.6
SJS,2020-10-06,23.2,23.7,23.2,23.7,55600,23.7
SJS,2020-10-05,23.0,23.8,23.0,23.7,96010,23.7
SJS,2020-10-02,23.5,23.5,22.8,23.3,173140,23.3
SJS,2020-10-01,23.4,23.7,23.3,23.6,80730,23.6
SJS,2020-09-30,22.95,23.5,22.5,23.4,138990,23.4
SJS,2020-09-29,24.15,24.2,23.0,23.0,147960,23.0
