name,date,open,high,low,close,volume,adj_close
SSI,2020-10-26,17.9,18.1,17.6,17.6,4731880,17.6
SSI,2020-10-23,18.1,18.15,17.7,17.9,4370330,17.9
SSI,2020-10-22,17.55,18.0,17.4,18.0,6686080,18.0
SSI,2020-10-21,18.2,18.3,17.7,17.7,7065620,17.7
SSI,2020-10-20,18.35,18.35,17.9,18.2,4191320,18.2
SSI,2020-10-19,18.3,18.7,18.15,18.35,9462400,18.35
SSI,2020-10-16,18.1,18.3,17.95,18.15,4444100,18.15
SSI,2020-10-15,18.3,18.35,18.05,18.15,4732880,18.15
SSI,2020-10-14,17.6,18.1,17.45,18.1,5379490,18.1
SSI,2020-10-13,17.85,17.95,17.55,17.55,4374250,17.55
SSI,2020-10-12,18.2,18.2,17.75,17.85,4849320,17.85
SSI,2020-10-09,18.0,18.25,17.85,18.0,3870610,18.0
SSI,2020-10-08,18.0,18.05,17.6,17.85,4663470,17.85
SSI,2020-10-07,18.0,18.15,17.8,17.85,5770720,17.85
SSI,2020-10-06,18.25,18.35,17.95,18.15,5228170,18.15
SSI,2020-10-05,18.05,18.3,17.8,18.25,6672820,18.25
SSI,2020-10-02,17.9,18.05,17.0,17.75,10961430,17.75
SSI,2020-10-01,17.1,18.0,17.0,17.8,10321030,17.8
SSI,2020-09-30,16.75,17.0,16.6,16.95,4432160,16.95
SSI,2020-09-29,17.1,17.15,16.7,16.75,6122220,16.75
