name,date,open,high,low,close,volume,adj_close
STB,2020-10-26,14.5,14.65,14.1,14.1,26821200,14.1
STB,2020-10-23,14.8,14.8,14.5,14.55,13634620,14.55
STB,2020-10-22,14.35,14.7,14.2,14.6,18152400,14.6
STB,2020-10-21,14.35,14.75,14.3,14.4,25828950,14.4
STB,2020-10-20,14.0,14.35,13.95,14.2,17698150,14.2
STB,2020-10-19,13.8,14.3,13.75,14.1,20547610,14.1
STB,2020-10-16,13.85,13.95,13.7,13.75,13048220,13.75
STB,2020-10-15,13.6,14.0,13.45,13.85,20799860,13.85
STB,2020-10-14,13.5,13.75,13.35,13.5,12364650,13.5
STB,2020-10-13,13.3,13.6,13.2,13.45,12669050,13.45
STB,2020-10-12,13.7,13.8,13.3,13.3,17962060,13.3
STB,2020-10-09,13.6,13.8,13.45,13.55,12474800,13.55
STB,2020-10-08,13.8,13.85,13.45,13.55,21328780,13.55
STB,2020-10-07,14.05,14.3,13.7,13.7,19465920,13.7
STB,2020-10-06,13.75,14.4,13.7,14.2,27112100,14.2
STB,2020-10-05,13.65,13.8,13.4,13.7,22603020,13.7
STB,2020-10-02,13.75,13.9,13.15,13.45,23206500,13.45
STB,2020-10-01,14.0,14.2,13.65,13.75,13285440,13.75
STB,2020-09-30,13.3,13.9,12.95,13.8,28314430,13.8
STB,2020-09-29,13.8,13.95,13.3,13.3,22791400,13.3
