name,date,open,high,low,close,volume,adj_close
TCB,2020-10-26,24.4,24.95,23.35,23.35,24707670,23.35
TCB,2020-10-23,24.1,24.2,23.85,24.0,28288440,24.0
TCB,2020-10-22,23.7,24.0,23.5,23.95,24408740,23.95
TCB,2020-10-21,24.2,24.4,23.7,23.75,20951070,23.75
TCB,2020-10-20,23.0,24.15,23.0,23.9,34662420,23.9
TCB,2020-10-19,22.95,23.35,22.85,23.0,28506770,23.0
TCB,2020-10-16,22.9,23.3,22.6,22.65,27075400,22.65
TCB,2020-10-15,23.45,23.8,22.8,22.85,25323170,22.85
TCB,2020-10-14,21.6,22.85,21.6,22.85,48630920,22.85
TCB,2020-10-13,21.25,21.65,21.2,21.4,14215200,21.4
TCB,2020-10-12,21.7,21.85,21.2,21.2,14203730,21.2
TCB,2020-10-09,21.5,21.95,21.3,21.35,13523760,21.35
TCB,2020-10-08,21.9,22.0,21.35,21.35,14366760,21.35
TCB,2020-10-07,22.3,22.35,21.8,21.8,12159210,21.8
TCB,2020-10-06,22.7,22.75,22.2,22.4,6850730,22.4
TCB,2020-10-05,22.55,22.75,22.25,22.55,5363760,22.55
TCB,2020-10-02,22.9,23.0,22.35,22.55,4381810,22.55
TCB,2020-10-01,22.65,22.9,22.6,22.8,3497290,22.8
TCB,2020-09-30,22.55,22.6,22.3,22.6,2357980,22.6
TCB,2020-09-29,22.9,23.0,22.55,22.55,2973020,22.55
