name,date,open,high,low,close,volume,adj_close
TCH,2020-10-26,20.55,20.8,20.05,20.05,11895940,20.05
TCH,2020-10-23,20.5,20.65,20.45,20.5,2962630,20.5
TCH,2020-10-22,20.65,20.75,20.45,20.45,7023460,20.45
TCH,2020-10-21,20.9,20.95,20.4,20.9,13073280,20.9
TCH,2020-10-20,20.95,21.15,20.4,20.9,36953630,20.9
TCH,2020-10-19,20.85,20.85,20.6,20.6,7497370,20.6
TCH,2020-10-16,20.95,21.1,20.5,21.1,14283420,21.1
TCH,2020-10-15,21.15,21.4,20.8,21.0,15567050,21.0
TCH,2020-10-14,20.85,21.35,20.35,21.1,22840530,21.1
TCH,2020-10-13,21.0,21.0,20.7,20.95,8998620,20.95
TCH,2020-10-12,21.55,21.55,20.9,20.9,4123850,20.9
TCH,2020-10-09,21.0,21.4,20.6,21.3,16097270,21.3
TCH,2020-10-08,21.3,21.3,20.65,20.9,11863940,20.9
TCH,2020-10-07,21.2,21.5,21.15,21.2,19829730,21.2
TCH,2020-10-06,21.25,21.6,21.1,21.55,12978280,21.55
TCH,2020-10-05,21.5,21.55,21.1,21.1,2803010,21.1
TCH,2020-10-02,21.05,21.6,20.4,21.6,21924910,21.6
TCH,2020-10-01,21.4,21.6,20.7,21.45,9975400,21.45
TCH,2020-09-30,21.1,21.8,20.85,21.55,15024070,21.55
TCH,2020-09-29,21.85,22.0,21.2,21.5,13046320,21.5
