name,date,open,high,low,close,volume,adj_close
TCW,2020-10-26,0,22.3,22.4,22.5,,22.5
TCW,2020-10-23,0,22.4,22.3,22.4,,22.4
TCW,2020-10-22,0,22.4,22.4,22.4,,22.4
TCW,2020-10-21,0,22.4,22.4,22.3,,22.3
TCW,2020-10-20,0,22.4,22.3,22.4,,22.4
TCW,2020-10-19,0,22.4,22.4,22.4,,22.4
TCW,2020-10-16,0,22.5,22.3,22.4,,22.4
TCW,2020-10-15,0,22.6,22.5,22.4,,22.4
TCW,2020-10-14,0,22.6,22.6,22.5,,22.5
TCW,2020-10-13,0,22.5,22.5,22.5,,22.5
TCW,2020-10-12,0,22.4,22.4,22.5,,22.5
TCW,2020-10-09,0,22.5,22.5,22.5,,22.5
TCW,2020-10-08,0,22.5,22.5,22.4,,22.4
TCW,2020-10-07,0,22.5,22.3,22.4,,22.4
TCW,2020-10-06,0,22.9,22.9,22.5,,22.5
TCW,2020-10-05,0,22.5,22.5,23.0,,23.0
TCW,2020-10-02,0,21.8,22.2,22.5,,22.5
TCW,2020-10-01,0,21.1,21.4,22.2,,22.2
TCW,2020-09-30,0,20.8,20.8,21.2,,21.2
TCW,2020-09-29,0,20.9,20.9,20.7,,20.7
