name,date,open,high,low,close,volume,adj_close
TDM,2020-10-26,22.85,23.2,22.5,22.8,163030,22.8
TDM,2020-10-23,23.15,23.15,22.8,22.8,62500,22.8
TDM,2020-10-22,22.3,23.1,22.3,23.05,179280,23.05
TDM,2020-10-21,22.7,22.75,22.35,22.35,649030,22.35
TDM,2020-10-20,23.0,23.0,22.7,22.75,472130,22.75
TDM,2020-10-19,23.25,23.25,23.05,23.05,182960,23.05
TDM,2020-10-16,23.4,23.4,23.2,23.25,180260,23.25
TDM,2020-10-15,23.4,23.5,23.25,23.4,157520,23.4
TDM,2020-10-14,23.6,23.6,23.3,23.4,154910,23.4
TDM,2020-10-13,23.45,23.6,23.4,23.4,198930,23.4
TDM,2020-10-12,23.4,23.8,23.35,23.35,112610,23.35
TDM,2020-10-09,23.5,23.6,23.3,23.4,104830,23.4
TDM,2020-10-08,23.8,23.8,23.3,23.5,302060,23.5
TDM,2020-10-07,23.85,24.0,23.75,23.75,161240,23.75
TDM,2020-10-06,23.65,23.95,23.6,23.85,322610,23.85
TDM,2020-10-05,23.55,23.65,23.5,23.55,141660,23.55
TDM,2020-10-02,23.75,23.85,22.15,23.55,280430,23.55
TDM,2020-10-01,23.6,23.9,23.6,23.8,209710,23.8
TDM,2020-09-30,23.75,23.85,23.55,23.6,143620,23.6
TDM,2020-09-29,23.5,24.2,23.35,23.7,401850,23.7
