name,date,open,high,low,close,volume,adj_close
TLG,2020-10-26,35.0,35.2,34.95,35.05,52910,35.05
TLG,2020-10-23,35.0,35.45,34.95,35.3,51110,35.3
TLG,2020-10-22,35.2,35.3,34.75,35.3,37850,35.3
TLG,2020-10-21,35.2,35.55,35.0,35.1,55020,35.1
TLG,2020-10-20,35.1,35.3,34.85,35.2,54590,35.2
TLG,2020-10-19,36.2,36.2,35.0,35.1,133850,35.1
TLG,2020-10-16,36.3,36.4,36.1,36.2,80890,36.2
TLG,2020-10-15,36.55,36.95,36.3,36.3,103060,36.3
TLG,2020-10-14,37.0,37.0,36.1,36.5,134300,36.5
TLG,2020-10-13,37.0,37.0,36.6,36.7,56240,36.7
TLG,2020-10-12,36.55,37.2,36.5,36.55,145820,36.55
TLG,2020-10-09,36.65,36.65,36.45,36.55,51790,36.55
TLG,2020-10-08,36.55,37.0,36.45,36.65,74200,36.65
TLG,2020-10-07,36.9,37.2,36.4,36.55,199830,36.55
TLG,2020-10-06,37.35,37.35,36.8,36.9,165360,36.9
TLG,2020-10-05,36.95,37.5,36.65,36.9,170830,36.9
TLG,2020-10-02,35.4,36.75,35.15,36.15,415460,36.15
TLG,2020-10-01,35.0,35.3,35.0,35.15,74120,35.15
TLG,2020-09-30,35.0,35.1,34.85,35.0,124470,35.0
TLG,2020-09-29,35.35,35.35,34.85,35.0,176850,35.0
