name,date,open,high,low,close,volume,adj_close
TPB,2020-10-26,24.65,24.85,24.0,24.0,1951470,24.0
TPB,2020-10-23,25.2,25.2,24.65,24.65,2178010,24.65
TPB,2020-10-22,25.0,25.2,24.5,25.2,2022830,25.2
TPB,2020-10-21,25.65,25.8,25.0,25.0,4031080,25.0
TPB,2020-10-20,25.6,25.9,25.4,25.65,3335700,25.65
TPB,2020-10-19,25.05,25.7,24.9,25.5,3684050,25.5
TPB,2020-10-16,24.75,25.5,24.7,24.95,3618880,24.95
TPB,2020-10-15,25.05,25.1,24.8,24.8,2932680,24.8
TPB,2020-10-14,24.95,25.15,24.8,25.0,3276270,25.0
TPB,2020-10-13,24.8,25.05,24.55,24.85,1935520,24.85
TPB,2020-10-12,25.1,25.2,24.8,24.8,2026030,24.8
TPB,2020-10-09,24.6,25.05,24.5,24.9,3478130,24.9
TPB,2020-10-08,24.9,25.0,24.45,24.6,1913730,24.6
TPB,2020-10-07,24.95,25.1,24.7,24.75,2744360,24.75
TPB,2020-10-06,25.1,25.5,24.85,25.1,3513190,25.1
TPB,2020-10-05,25.0,25.3,24.95,25.15,3570750,25.15
TPB,2020-10-02,24.9,25.1,24.1,24.85,3339580,24.85
TPB,2020-10-01,23.5,24.85,23.5,24.7,4408980,24.7
TPB,2020-09-30,23.5,23.65,23.35,23.45,2843160,23.45
TPB,2020-09-29,23.8,23.9,23.3,23.3,1121300,23.3
