name,date,open,high,low,close,volume,adj_close
TV2,2020-10-26,48.1,48.1,47.75,47.75,48650,47.75
TV2,2020-10-23,48.05,48.2,47.8,48.2,92900,48.2
TV2,2020-10-22,48.55,48.6,47.55,48.0,52810,48.0
TV2,2020-10-21,47.7,48.9,47.6,48.5,191420,48.5
TV2,2020-10-20,46.55,48.0,46.45,47.6,150260,47.6
TV2,2020-10-19,45.6,46.5,45.6,46.5,90140,46.5
TV2,2020-10-16,46.0,46.0,43.7,45.6,92860,45.6
TV2,2020-10-15,46.95,46.95,46.0,46.0,74420,46.0
TV2,2020-10-14,47.0,47.0,46.8,46.95,44550,46.95
TV2,2020-10-13,47.1,47.2,47.05,47.05,28050,47.05
TV2,2020-10-12,47.3,47.3,47.05,47.05,50680,47.05
TV2,2020-10-09,47.3,47.45,47.2,47.3,46680,47.3
TV2,2020-10-08,47.75,47.75,47.2,47.3,39760,47.3
TV2,2020-10-07,47.5,47.8,47.2,47.65,75990,47.65
TV2,2020-10-06,47.55,48.0,47.4,47.6,43700,47.6
TV2,2020-10-05,47.6,47.6,47.35,47.6,59970,47.6
TV2,2020-10-02,47.9,47.95,47.25,47.6,75090,47.6
TV2,2020-10-01,47.4,47.95,47.25,47.9,97170,47.9
TV2,2020-09-30,47.7,47.7,47.3,47.5,127170,47.5
TV2,2020-09-29,48.75,48.75,47.6,47.9,81250,47.9
