name,date,open,high,low,close,volume,adj_close
VCB,2020-10-26,87.5,87.8,86.0,86.0,911390,86.0
VCB,2020-10-23,86.9,87.5,86.7,87.5,657830,87.5
VCB,2020-10-22,86.1,86.6,85.1,86.6,1320610,86.6
VCB,2020-10-21,87.8,88.6,85.9,86.2,1452050,86.2
VCB,2020-10-20,87.0,87.8,86.9,87.7,1075780,87.7
VCB,2020-10-19,88.0,88.3,87.5,87.5,1052250,87.5
VCB,2020-10-16,88.5,88.6,87.5,88.2,668850,88.2
VCB,2020-10-15,88.2,88.6,86.8,88.6,1424740,88.6
VCB,2020-10-14,86.8,89.0,86.7,88.2,1206380,88.2
VCB,2020-10-13,86.0,86.9,85.5,86.5,814530,86.5
VCB,2020-10-12,86.0,87.0,84.8,85.9,1574610,85.9
VCB,2020-10-09,84.5,85.0,84.5,84.8,366200,84.8
VCB,2020-10-08,85.5,85.5,83.8,84.8,549140,84.8
VCB,2020-10-07,83.6,85.2,83.1,85.0,988270,85.0
VCB,2020-10-06,83.8,84.4,83.2,83.9,1105060,83.9
VCB,2020-10-05,84.5,85.0,83.4,83.5,811740,83.5
VCB,2020-10-02,84.8,85.0,80.0,84.0,890840,84.0
VCB,2020-10-01,85.1,85.1,84.2,84.8,367030,84.8
VCB,2020-09-30,85.0,85.0,83.8,84.1,584450,84.1
VCB,2020-09-29,86.0,86.1,83.8,84.6,1609090,84.6
