name,date,open,high,low,close,volume,adj_close
VGC,2020-10-26,23.0,23.1,22.85,22.85,112270,22.85
VGC,2020-10-23,23.1,23.1,22.9,23.0,55100,23.0
VGC,2020-10-22,23.4,23.4,22.95,23.0,46870,23.0
VGC,2020-10-21,23.3,23.4,23.0,23.4,285440,23.4
VGC,2020-10-20,22.9,23.1,22.55,23.05,155090,23.05
VGC,2020-10-19,22.5,23.1,22.5,23.05,88400,23.05
VGC,2020-10-16,23.5,23.6,21.8,23.0,170550,23.0
VGC,2020-10-15,23.05,23.4,22.95,23.4,181900,23.4
VGC,2020-10-14,23.0,23.05,22.9,23.0,217220,23.0
VGC,2020-10-13,22.9,23.1,22.8,22.9,181140,22.9
VGC,2020-10-12,23.2,23.25,22.9,22.9,290900,22.9
VGC,2020-10-09,22.9,22.95,22.7,22.95,150530,22.95
VGC,2020-10-08,23.0,23.2,22.6,22.8,182670,22.8
VGC,2020-10-07,22.9,23.1,22.9,23.0,82270,23.0
VGC,2020-10-06,23.1,23.2,23.0,23.0,249230,23.0
VGC,2020-10-05,23.0,23.35,23.0,23.0,107390,23.0
VGC,2020-10-02,23.1,23.35,22.8,23.0,378360,23.0
VGC,2020-10-01,23.15,23.15,22.9,23.0,275340,23.0
VGC,2020-09-30,23.5,23.5,22.0,23.0,495820,23.0
VGC,2020-09-29,23.5,23.6,23.35,23.4,280950,23.4
