name,date,open,high,low,close,volume,adj_close
VHC,2020-10-26,41.5,42.8,41.35,42.05,362830,42.05
VHC,2020-10-23,40.1,41.6,40.1,41.5,612590,41.5
VHC,2020-10-22,41.8,41.8,40.0,40.3,964220,40.3
VHC,2020-10-21,42.2,42.7,41.45,41.9,705230,41.9
VHC,2020-10-20,42.3,42.95,42.0,42.7,256090,42.7
VHC,2020-10-19,43.4,43.4,42.9,43.0,503420,43.0
VHC,2020-10-16,42.8,43.3,42.3,43.3,565900,43.3
VHC,2020-10-15,42.2,42.6,41.8,42.6,364100,42.6
VHC,2020-10-14,42.6,42.75,42.5,42.5,281120,42.5
VHC,2020-10-13,41.9,42.4,41.4,42.4,385250,42.4
VHC,2020-10-12,41.6,42.1,41.0,41.7,590930,41.7
VHC,2020-10-09,42.6,42.7,41.55,41.6,543750,41.6
VHC,2020-10-08,43.1,43.5,42.1,42.8,339100,42.8
VHC,2020-10-07,44.8,45.65,44.7,45.05,477370,43.05
VHC,2020-10-06,44.3,45.6,44.3,45.15,649350,43.15
VHC,2020-10-05,43.75,44.3,43.75,44.15,282770,42.19
VHC,2020-10-02,44.0,44.4,43.2,43.75,398110,41.81
VHC,2020-10-01,44.05,44.5,43.9,44.0,563390,42.05
VHC,2020-09-30,43.85,44.05,43.0,43.8,503990,41.86
VHC,2020-09-29,43.8,44.3,43.8,43.8,497080,41.86
