name,date,open,high,low,close,volume,adj_close
VHM,2020-10-26,80.5,81.1,78.5,78.5,3668950,78.5
VHM,2020-10-23,78.0,79.9,77.8,79.5,5830890,79.5
VHM,2020-10-22,76.5,77.5,76.2,77.5,1591870,77.5
VHM,2020-10-21,76.4,77.7,76.2,76.4,1862630,76.4
VHM,2020-10-20,76.1,76.6,75.8,76.2,2257630,76.2
VHM,2020-10-19,76.8,77.0,76.0,76.1,2467450,76.1
VHM,2020-10-16,77.9,77.9,76.9,77.0,1811510,77.0
VHM,2020-10-15,78.7,79.1,77.5,77.5,2689830,77.5
VHM,2020-10-14,78.4,78.9,78.1,78.5,2030870,78.5
VHM,2020-10-13,77.9,78.6,77.6,78.1,1233860,78.1
VHM,2020-10-12,77.2,79.2,77.0,77.5,4265300,77.5
VHM,2020-10-09,76.6,77.4,76.5,77.0,1456580,77.0
VHM,2020-10-08,77.0,77.2,76.3,76.6,1043430,76.6
VHM,2020-10-07,76.1,77.4,76.1,76.8,2596060,76.8
VHM,2020-10-06,76.0,76.8,76.0,76.1,1505510,76.1
VHM,2020-10-05,76.0,76.9,75.9,76.0,1080840,76.0
VHM,2020-10-02,77.0,77.4,75.0,75.9,1730820,75.9
VHM,2020-10-01,76.3,77.2,76.1,77.1,1359510,77.1
VHM,2020-09-30,75.3,76.4,75.1,75.5,1677150,75.5
VHM,2020-09-29,76.7,76.9,75.1,75.3,3772160,75.3
