name,date,open,high,low,close,volume,adj_close
VIC,2020-10-26,109.0,109.5,104.9,105.1,974720,105.1
VIC,2020-10-23,100.2,104.9,100.0,104.0,1761080,104.0
VIC,2020-10-22,97.0,100.1,96.8,100.1,621610,100.1
VIC,2020-10-21,97.8,97.9,96.7,97.3,172010,97.3
VIC,2020-10-20,97.4,97.9,95.8,97.8,511250,97.8
VIC,2020-10-19,97.8,97.9,97.4,97.7,370590,97.7
VIC,2020-10-16,98.1,98.1,96.9,97.6,596590,97.6
VIC,2020-10-15,95.1,97.5,91.0,97.5,1358580,97.5
VIC,2020-10-14,94.1,95.0,94.0,95.0,389260,95.0
VIC,2020-10-13,93.9,94.1,93.4,94.1,271990,94.1
VIC,2020-10-12,93.6,94.0,92.5,93.9,326290,93.9
VIC,2020-10-09,92.3,93.7,92.3,93.6,309580,93.6
VIC,2020-10-08,92.0,92.9,91.5,92.3,216990,92.3
VIC,2020-10-07,91.5,93.5,91.0,92.5,381520,92.5
VIC,2020-10-06,93.3,93.3,91.8,91.8,521190,91.8
VIC,2020-10-05,94.0,94.0,92.0,93.3,90450,93.3
VIC,2020-10-02,92.5,94.0,92.0,94.0,400770,94.0
VIC,2020-10-01,91.9,93.4,91.9,92.5,212510,92.5
VIC,2020-09-30,91.5,93.4,91.5,91.5,417360,91.5
VIC,2020-09-29,94.0,94.0,91.5,91.5,394490,91.5
