name,date,open,high,low,close,volume,adj_close
VN30INDEX,2020-10-23,918.84,930.59,918.84,930.3,163038710,930.3
VN30INDEX,2020-10-22,906.1,918.3,901.96,918.3,133646710,918.3
VN30INDEX,2020-10-21,910.63,918.14,905.08,906.1,152206540,906.1
VN30INDEX,2020-10-20,903.57,909.49,899.42,909.49,179990420,909.49
VN30INDEX,2020-10-19,899.61,906.16,899.61,903.51,142169620,903.51
VN30INDEX,2020-10-16,899.58,906.17,892.7,901.59,157348820,901.59
VN30INDEX,2020-10-15,896.5,901.71,893.94,899.2,167589220,899.2
VN30INDEX,2020-10-14,878.94,892.25,878.94,892.15,176566350,892.15
VN30INDEX,2020-10-13,874.58,879.25,872.36,878.35,103915810,878.35
VN30INDEX,2020-10-12,874.72,882.84,871.58,874.9,130255360,874.9
VN30INDEX,2020-10-09,869.8,875.52,868.36,874.53,115723800,874.53
VN30INDEX,2020-10-08,870.88,873.13,864.55,869.82,139809540,869.82
VN30INDEX,2020-10-07,870.98,876.31,867.06,870.85,157151510,870.85
VN30INDEX,2020-10-06,867.74,872.39,866.12,871.37,148279580,871.37
VN30INDEX,2020-10-05,861.65,869.09,861.65,867.7,115090400,867.7
VN30INDEX,2020-10-02,867.93,870.8,850.61,861.51,164531140,861.51
VN30INDEX,2020-10-01,859.27,868.3,859.27,867.58,106515880,867.58
VN30INDEX,2020-09-30,856.07,860.1,852.54,858.54,104923280,858.54
VN30INDEX,2020-09-29,863.59,871.99,856.2,856.2,135082450,856.2
VN30INDEX,2020-09-28,854.71,863.98,854.71,863.31,134681820,863.31
