name,date,open,high,low,close,volume,adj_close
VND,2020-10-26,16.1,16.15,15.6,15.6,1219060,15.6
VND,2020-10-23,16.1,16.1,15.85,16.0,677070,16.0
VND,2020-10-22,15.65,16.05,15.5,16.05,1031670,16.05
VND,2020-10-21,16.2,16.35,15.8,15.9,2169430,15.9
VND,2020-10-20,15.95,16.1,15.7,16.0,740320,16.0
VND,2020-10-19,16.1,16.25,15.85,16.0,1518840,16.0
VND,2020-10-16,15.95,16.15,15.65,15.9,1007500,15.9
VND,2020-10-15,15.95,16.1,15.55,15.85,1129040,15.85
VND,2020-10-14,15.45,15.85,15.4,15.85,932500,15.85
VND,2020-10-13,15.7,15.7,15.35,15.45,871600,15.45
VND,2020-10-12,16.25,16.35,15.6,15.8,1501100,15.8
VND,2020-10-09,15.4,16.0,15.35,15.95,1651430,15.95
VND,2020-10-08,15.35,15.4,15.15,15.35,1208280,15.35
VND,2020-10-07,15.3,15.4,15.15,15.35,1300100,15.35
VND,2020-10-06,15.35,15.9,15.2,15.4,2056770,15.4
VND,2020-10-05,14.3,15.2,14.3,15.2,2012050,15.2
VND,2020-10-02,14.25,14.3,13.7,14.25,1899860,14.25
VND,2020-10-01,13.6,14.4,13.6,14.25,3568650,14.25
VND,2020-09-30,13.5,13.5,13.35,13.5,1686350,13.5
VND,2020-09-29,13.8,13.85,13.45,13.5,2814600,13.5
