name,date,open,high,low,close,volume,adj_close
VNG,2020-10-26,15.1,15.1,14.95,15.1,174950,15.1
VNG,2020-10-23,15.05,15.1,14.95,15.1,213800,15.1
VNG,2020-10-22,15.05,15.1,14.9,15.05,191370,15.05
VNG,2020-10-21,15.0,15.05,14.9,15.05,209420,15.05
VNG,2020-10-20,15.0,15.05,14.75,15.0,193580,15.0
VNG,2020-10-19,14.9,15.0,14.85,14.95,160080,14.95
VNG,2020-10-16,14.9,15.0,14.75,14.9,162540,14.9
VNG,2020-10-15,14.8,14.9,14.8,14.9,200390,14.9
VNG,2020-10-14,14.75,14.85,14.7,14.8,170820,14.8
VNG,2020-10-13,14.85,14.95,14.7,14.7,191480,14.7
VNG,2020-10-12,15.0,15.1,14.75,14.85,176080,14.85
VNG,2020-10-09,14.95,15.1,14.9,15.0,182980,15.0
VNG,2020-10-08,15.35,15.35,15.0,15.0,186530,15.0
VNG,2020-10-07,15.35,15.4,15.2,15.3,190170,15.3
VNG,2020-10-06,15.35,15.4,15.25,15.35,198160,15.35
VNG,2020-10-05,15.3,15.4,15.15,15.35,202250,15.35
VNG,2020-10-02,15.3,15.45,15.15,15.3,174670,15.3
VNG,2020-10-01,15.35,15.5,15.2,15.3,201490,15.3
VNG,2020-09-30,15.2,15.4,15.2,15.35,177900,15.35
VNG,2020-09-29,15.4,15.5,15.35,15.35,172310,15.35
