name,date,open,high,low,close,volume,adj_close
VNINDEX,2020-02-10,914.09,916.67,897.72,909.91,482730800,909.91
VNINDEX,2020-01-10,910.13,914.09,905.21,914.09,316205380,914.09
VNINDEX,2020-09-30,904.34,907.0,900.44,905.21,293672500,905.21
VNINDEX,2020-09-29,916.63,917.49,903.98,903.98,417729640,903.98
VNINDEX,2020-09-28,911.2,913.6,908.27,912.5,364766720,912.5
VNINDEX,2020-09-24,910.53,914.51,907.32,908.58,342227190,908.58
VNINDEX,2020-09-23,908.97,913.52,906.19,912.5,308415530,912.5
VNINDEX,2020-09-22,905.9,909.69,902.47,906.19,354990230,906.19
VNINDEX,2020-09-21,904.5,909.78,900.95,907.94,335444870,907.94
VNINDEX,2020-09-18,896.08,902.11,894.04,900.95,284500330,900.95
VNINDEX,2020-09-17,897.47,899.41,890.93,894.04,359544010,894.04
VNINDEX,2020-09-16,897.43,897.58,894.63,897.47,254896560,897.47
VNINDEX,2020-09-15,896.61,898.74,894.57,896.26,331999340,896.26
VNINDEX,2020-09-14,891.89,895.31,888.97,894.57,310093510,894.57
VNINDEX,2020-11-09,888.82,890.98,884.67,888.97,260925560,888.97
VNINDEX,2020-10-09,895.29,896.78,888.82,888.82,275680070,888.82
VNINDEX,2020-09-09,883.68,892.4,881.57,889.32,271637930,889.32
VNINDEX,2020-08-09,891.61,894.58,884.88,890.14,255433630,890.14
VNINDEX,2020-07-09,903.85,905.8,888.25,888.25,369754460,888.25
VNINDEX,2020-03-09,898.25,904.32,896.26,903.97,308726200,903.97
VNINDEX,2020-01-09,882.4,892.51,880.79,891.73,273317520,891.73
