name,date,open,high,low,close,volume,adj_close
VNMID-INDEX,2020-10-23,1007.93,1013.08,1006.41,1009.77,107735510,1009.77
VNMID-INDEX,2020-10-22,1004.04,1007.93,993.46,1007.93,93609430,1007.93
VNMID-INDEX,2020-10-21,1016.81,1020.43,1003.86,1004.04,117651240,1004.04
VNMID-INDEX,2020-10-16,1007.83,1012.21,999.87,1007.25,133972630,1007.25
VNMID-INDEX,2020-10-13,1008.42,1010.37,1001.51,1008.21,124952180,1008.21
VNMID-INDEX,2020-10-09,1013.22,1020.26,1012.03,1016.27,118542920,1016.27
VNMID-INDEX,2020-10-08,1019.68,1023.09,1007.37,1013.22,166469240,1013.22
VNMID-INDEX,2020-10-01,988.92,1004.34,988.92,1004.34,119915930,1004.34
VNMID-INDEX,2020-09-28,983.72,991.46,983.25,991.46,141970580,991.46
VNMID-INDEX,2020-09-23,985.59,992.45,985.44,990.18,120640880,990.18
VNMID-INDEX,2020-09-22,983.21,988.65,976.78,985.44,129215200,985.44
VNMID-INDEX,2020-09-21,982.43,989.02,982.43,983.52,127957120,983.52
VNMID-INDEX,2020-09-18,973.01,982.8,972.72,982.43,112526150,982.43
VNMID-INDEX,2020-09-17,973.13,976.77,966.32,973.01,147766410,973.01
VNMID-INDEX,2020-09-15,967.3,975.49,967.3,968.91,122680660,968.91
VNMID-INDEX,2020-09-11,955.08,958.96,951.46,958.93,91839120,958.93
VNMID-INDEX,2020-09-09,943.23,949.99,935.24,949.6,99203700,949.6
VNMID-INDEX,2020-09-08,935.84,943.35,934.87,943.23,78977190,943.23
VNMID-INDEX,2020-09-07,940.35,951.58,935.84,935.84,140431610,935.84
VNMID-INDEX,2020-09-01,919.69,933.98,919.35,933.98,104303260,933.98
