name,date,open,high,low,close,volume,adj_close
VNR,2020-10-26,20.0,20.0,20.0,19.1,600,19.1
VNR,2020-10-23,20.0,20.0,20.0,20.0,0,20.0
VNR,2020-10-22,20.0,20.0,20.0,20.0,0,20.0
VNR,2020-10-21,20.0,20.0,20.0,20.0,0,20.0
VNR,2020-10-20,20.0,20.0,20.0,20.0,0,20.0
VNR,2020-10-19,20.0,20.0,20.0,20.0,5,20.0
VNR,2020-10-16,19.8,19.9,21.5,20.0,2900,20.0
VNR,2020-10-15,19.6,19.8,19.8,19.8,100,19.8
VNR,2020-10-14,19.4,18.6,19.6,19.6,3000,19.6
VNR,2020-10-13,19.4,19.4,19.4,19.4,0,19.4
VNR,2020-10-12,19.4,19.4,19.4,19.4,10,19.4
VNR,2020-10-09,19.9,19.0,19.4,19.4,200,19.4
VNR,2020-10-08,19.9,19.9,19.9,19.9,0,19.9
VNR,2020-10-07,19.9,19.9,19.9,19.9,0,19.9
VNR,2020-10-06,19.9,19.9,19.9,19.9,20,19.9
VNR,2020-10-05,19.9,18.6,19.9,19.9,800,19.9
VNR,2020-10-02,19.9,19.9,19.9,19.9,0,19.9
VNR,2020-10-01,19.4,19.5,19.9,19.9,1100,19.9
VNR,2020-09-30,18.8,19.9,20.0,19.4,1220,19.4
VNR,2020-09-29,19.0,19.0,19.0,18.8,2300,18.8
