name,date,open,high,low,close,volume,adj_close
VNSML-INDEX,2020-10-23,835.71,840.85,835.71,840.37,72040470,840.37
VNSML-INDEX,2020-10-22,833.38,835.89,829.44,835.71,51965370,835.71
VNSML-INDEX,2020-10-21,839.1,842.54,833.24,833.38,63059280,833.38
VNSML-INDEX,2020-10-12,858.83,863.22,847.27,848.6,85036340,848.6
VNSML-INDEX,2020-10-09,859.21,861.42,856.95,858.83,69230360,858.83
VNSML-INDEX,2020-10-08,862.36,865.83,853.32,859.21,85811860,859.21
VNSML-INDEX,2020-10-01,833.55,843.11,833.55,843.11,69932700,843.11
VNSML-INDEX,2020-09-30,827.0,833.62,822.99,833.55,59151840,833.55
VNSML-INDEX,2020-09-29,832.44,835.51,826.56,827.02,82942870,827.02
VNSML-INDEX,2020-09-28,826.9,832.69,826.83,832.44,68305690,832.44
VNSML-INDEX,2020-09-23,826.23,830.89,826.07,829.2,57963240,829.2
VNSML-INDEX,2020-09-22,829.29,829.39,822.68,826.21,73904770,826.21
VNSML-INDEX,2020-09-21,831.1,834.74,828.92,829.39,72595160,829.39
VNSML-INDEX,2020-09-18,828.0,831.1,827.77,831.1,58974310,831.1
VNSML-INDEX,2020-09-17,827.69,831.44,822.1,828.0,92647780,828.0
VNSML-INDEX,2020-09-16,827.9,828.25,824.33,827.69,64795130,827.69
VNSML-INDEX,2020-09-15,826.66,831.66,826.66,827.9,100431160,827.9
VNSML-INDEX,2020-09-14,821.15,828.35,821.0,826.66,80029180,826.66
VNSML-INDEX,2020-09-11,813.26,821.15,811.25,821.15,84087940,821.15
VNSML-INDEX,2020-09-09,802.93,809.28,796.31,809.28,65059820,809.28
