name,date,open,high,low,close,volume,adj_close
VPB,2020-10-26,25.7,26.0,24.3,24.3,9920290,24.3
VPB,2020-10-23,25.6,25.7,25.25,25.7,7225270,25.7
VPB,2020-10-22,25.3,25.6,25.0,25.6,8544500,25.6
VPB,2020-10-21,25.0,26.3,24.75,25.1,16059760,25.1
VPB,2020-10-20,24.2,24.95,24.1,24.8,12978810,24.8
VPB,2020-10-19,24.8,24.85,24.35,24.45,7119110,24.45
VPB,2020-10-16,24.05,25.05,23.9,24.6,11567220,24.6
VPB,2020-10-15,24.15,24.2,23.8,24.05,8354960,24.05
VPB,2020-10-14,23.5,24.15,23.4,24.0,10165900,24.0
VPB,2020-10-13,23.4,23.55,23.25,23.4,2640580,23.4
VPB,2020-10-12,23.7,23.85,23.2,23.4,3568850,23.4
VPB,2020-10-09,23.45,23.6,23.2,23.4,3496030,23.4
VPB,2020-10-08,23.75,23.9,23.2,23.45,7614850,23.45
VPB,2020-10-07,24.15,24.2,23.75,23.75,6265650,23.75
VPB,2020-10-06,24.35,24.4,23.95,24.15,6138720,24.15
VPB,2020-10-05,24.1,24.35,23.9,24.2,7056130,24.2
VPB,2020-10-02,24.15,24.2,23.25,23.65,7817380,23.65
VPB,2020-10-01,23.9,24.3,23.75,24.1,5282040,24.1
VPB,2020-09-30,23.7,23.8,23.45,23.75,5209330,23.75
VPB,2020-09-29,24.0,24.5,23.7,23.75,11580400,23.75
