name,date,open,high,low,close,volume,adj_close
VPI,2020-10-26,33.0,33.4,33.0,33.35,555170,33.35
VPI,2020-10-23,41.5,41.55,41.2,41.25,1102010,33.0
VPI,2020-10-22,41.45,41.75,41.0,41.5,2417980,33.2
VPI,2020-10-21,41.45,41.75,41.4,41.55,1188420,33.24
VPI,2020-10-20,41.75,41.75,40.95,41.45,1091780,33.16
VPI,2020-10-19,41.6,41.95,41.5,41.75,1676360,33.4
VPI,2020-10-16,41.5,41.85,41.5,41.6,1439330,33.28
VPI,2020-10-15,41.3,42.0,41.2,41.5,1605180,33.2
VPI,2020-10-14,41.35,41.4,41.15,41.3,1646700,33.04
VPI,2020-10-13,41.35,41.5,41.15,41.35,1122680,33.08
VPI,2020-10-12,41.35,41.45,41.15,41.35,1743100,33.08
VPI,2020-10-09,41.05,41.5,40.5,41.35,662550,33.08
VPI,2020-10-08,41.35,41.35,41.0,41.05,534960,32.84
VPI,2020-10-07,41.35,41.6,41.1,41.35,1152330,33.08
VPI,2020-10-06,41.0,41.5,41.0,41.35,711350,33.08
VPI,2020-10-05,41.0,41.2,40.05,41.0,1186990,32.8
VPI,2020-10-02,41.0,41.2,40.85,41.0,435450,32.8
VPI,2020-10-01,41.2,41.3,40.95,41.0,590540,32.8
VPI,2020-09-30,41.15,41.4,40.95,41.2,548500,32.96
VPI,2020-09-29,41.55,41.6,40.95,41.2,433490,32.96
