name,date,open,high,low,close,volume,adj_close
VRE,2020-10-26,29.0,29.0,27.75,27.75,6877050,27.75
VRE,2020-10-23,28.3,28.35,28.1,28.35,12351650,28.35
VRE,2020-10-22,27.8,28.1,27.55,28.1,3669560,28.1
VRE,2020-10-21,27.45,28.25,27.45,27.9,8229920,27.9
VRE,2020-10-20,27.35,27.6,27.25,27.45,1879310,27.45
VRE,2020-10-19,27.5,27.5,27.2,27.35,1906100,27.35
VRE,2020-10-16,27.8,27.9,27.45,27.5,3583650,27.5
VRE,2020-10-15,27.5,27.7,27.35,27.6,4181580,27.6
VRE,2020-10-14,27.2,27.45,27.2,27.35,2100870,27.35
VRE,2020-10-13,27.3,27.4,27.15,27.2,3015800,27.2
VRE,2020-10-12,27.8,28.0,27.1,27.1,3884690,27.1
VRE,2020-10-09,27.65,27.75,26.5,27.65,2199660,27.65
VRE,2020-10-08,28.0,28.0,27.55,27.65,1434220,27.65
VRE,2020-10-07,27.5,27.95,27.5,27.8,3198050,27.8
VRE,2020-10-06,27.4,27.6,27.4,27.5,2135800,27.5
VRE,2020-10-05,27.4,27.8,27.35,27.4,2015400,27.4
VRE,2020-10-02,27.8,27.95,26.5,27.3,2548820,27.3
VRE,2020-10-01,27.8,27.9,27.6,27.7,2154130,27.7
VRE,2020-09-30,27.45,27.95,27.25,27.6,1592150,27.6
VRE,2020-09-29,27.9,28.1,27.4,27.45,2615690,27.45
