name,date,open,high,low,close,volume,adj_close
YEG,2020-10-26,44.65,45.05,44.65,44.8,19020,44.8
YEG,2020-10-23,45.3,45.5,45.0,45.05,13680,45.05
YEG,2020-10-22,45.4,45.4,44.8,45.0,39060,45.0
YEG,2020-10-21,45.2,45.7,44.6,45.0,31890,45.0
YEG,2020-10-20,44.6,45.4,44.6,44.9,30810,44.9
YEG,2020-10-19,45.7,45.7,44.6,45.0,9720,45.0
YEG,2020-10-16,44.8,46.4,44.8,45.7,52970,45.7
YEG,2020-10-15,43.35,44.75,43.3,44.75,21450,44.75
YEG,2020-10-14,43.25,44.5,43.25,43.8,13390,43.8
YEG,2020-10-13,42.0,44.7,42.0,44.0,28410,44.0
YEG,2020-10-12,45.0,46.0,44.7,44.75,97900,44.75
YEG,2020-10-09,47.15,48.2,47.15,47.6,9160,47.6
YEG,2020-10-08,47.0,47.7,47.0,47.4,5830,47.4
YEG,2020-10-07,47.1,48.0,47.0,47.7,4520,47.7
YEG,2020-10-06,48.0,48.0,46.7,47.6,8110,47.6
YEG,2020-10-05,46.5,47.8,46.5,47.8,6480,47.8
YEG,2020-10-02,48.5,48.5,46.0,47.8,7770,47.8
YEG,2020-10-01,47.0,48.5,46.0,48.5,14900,48.5
YEG,2020-09-30,47.6,47.9,47.0,47.0,10580,47.0
YEG,2020-09-29,48.2,48.25,47.2,47.6,17910,47.6
